slot_id,week,section_id,course_id,faculty,day,start,end,room_number
W3_Wed_S2,3,SCM_A,SCM,Prof. Pritee Ray,Wed,10:45,12:15,Room_2
W3_Wed_S3,3,PBM_B,PBM,Prof. Aditya Shankar Mishra,Wed,12:30,14:00,Room_1
W3_Wed_S3,3,SDM_A,SDM,Prof. Shibashish Chakraborty,Wed,12:30,14:00,Room_2
W3_Wed_S4,3,FIS_B,FIS,Prof. Prasenjit Chakrabarti,Wed,14:45,16:15,Room_1
W3_Wed_S4,3,PBM_A,PBM,Prof. Aditya Shankar Mishra,Wed,14:45,16:15,Room_2
W3_Wed_S5,3,CCS_B,CCS,Prof. Rohit Kumar,Wed,16:30,18:00,Room_1
W3_Wed_S5,3,PBM_A,PBM,Prof. Aditya Shankar Mishra,Wed,16:30,18:00,Room_2
W3_Wed_S6,3,DRV_A,DRV,Prof. Kamran Kuddus,Wed,18:15,19:45,Room_1
W3_Wed_S6,3,EMPP_A,EMPP,Prof. Rajasekhar David,Wed,18:15,19:45,Room_2
W3_Wed_S6,3,PBM_B,PBM,Prof. Aditya Shankar Mishra,Wed,18:15,19:45,Room_3
W4_Fri_S1,4,SMTI_A,SMTI,Prof. Shiwangi Singh,Fri,09:00,10:30,Room_1
W4_Fri_S2,4,IM_A,IM,Prof. Anand,Fri,10:45,12:15,Room_1
W4_Fri_S2,4,ODC_B,ODC,Prof. Viraj Varma,Fri,10:45,12:15,Room_2
W4_Fri_S2,4,SCM_B,SCM,Prof. Pritee Ray,Fri,10:45,12:15,Room_3
W4_Fri_S3,4,CB_A,CB,Prof. M. Jyotsna Soni,Fri,12:30,14:00,Room_1
W4_Fri_S3,4,GMRM_A,GMRM,Prof. Piyali Ghosh,Fri,12:30,14:00,Room_2
W4_Fri_S3,4,PRI_B,PRI,Prof. Shweta Jha,Fri,12:30,14:00,Room_3
W4_Fri_S4,4,IMC_B,IMC,Prof. T. Sai Vijay,Fri,14:45,16:15,Room_1
W4_Fri_S4,4,PRI_A,PRI,Prof. Shweta Jha,Fri,14:45,16:15,Room_2
W4_Fri_S4,4,REE_A,REE,Prof. Rakhi Singh,Fri,14:45,16:15,Room_3
W4_Fri_S5,4,CRM_B,CRM,Prof. Ankur Jha,Fri,16:30,18:00,Room_1
W4_Fri_S5,4,CS_A,CS,Prof. Swarup Kumar Dutta,Fri,16:30,18:00,Room_2
W4_Fri_S6,4,SMTI_A,SMTI,Prof. Shiwangi Singh,Fri,18:15,19:45,Room_1
W4_Mon_S1,4,DT_B,DT,Prof. Arindam Mukherjee,Mon,09:00,10:30,Room_1
W4_Mon_S1,4,PBM_A,PBM,Prof. Aditya Shankar Mishra,Mon,09:00,10:30,Room_2
W4_Mon_S2,4,CS_B,CS,Prof. Swarup Kumar Dutta,Mon,10:45,12:15,Room_1
W4_Mon_S2,4,SDM_A,SDM,Prof. Shibashish Chakraborty,Mon,10:45,12:15,Room_2
W4_Mon_S3,4,CB_B,CB,Prof. M. Jyotsna Soni,Mon,12:30,14:00,Room_1
W4_Mon_S3,4,SDM_A,SDM,Prof. Shibashish Chakraborty,Mon,12:30,14:00,Room_2
W4_Mon_S4,4,BMS_A,BMS,Prof. Santosh Kumar Prusty,Mon,14:45,16:15,Room_1
W4_Mon_S5,4,DSMM_A,DSMM,Prof. Subhro Sarkar,Mon,16:30,18:00,Room_1
W4_Mon_S5,4,PM_B,PM,Prof. Vijaya Dixit,Mon,16:30,18:00,Room_2
W4_Mon_S6,4,CCS_A,CCS,Prof. Rohit Kumar,Mon,18:15,19:45,Room_1
W4_Mon_S6,4,SDM_B,SDM,Prof. Shibashish Chakraborty,Mon,18:15,19:45,Room_2
W4_Sat_S1,4,IMC_A,IMC,Prof. T. Sai Vijay,Sat,09:00,10:30,Room_1
W4_Sat_S1,4,IMKT_B,IMKT,Prof. Dipanjan Kumar Dey,Sat,09:00,10:30,Room_2
W4_Sat_S2,4,IMC_A,IMC,Prof. T. Sai Vijay,Sat,10:45,12:15,Room_1
W4_Sat_S2,4,IMKT_B,IMKT,Prof. Dipanjan Kumar Dey,Sat,10:45,12:15,Room_2
W4_Sat_S3,4,NCM_A,NCM,Prof. Manish Kumar,Sat,12:30,14:00,Room_1
W4_Sat_S3,4,PBM_B,PBM,Prof. Aditya Shankar Mishra,Sat,12:30,14:00,Room_2
W4_Sat_S3,4,SCM_A,SCM,Prof. Pritee Ray,Sat,12:30,14:00,Room_3
W4_Sat_S4,4,CB_A,CB,Prof. M. Jyotsna Soni,Sat,14:45,16:15,Room_1
W4_Sat_S4,4,CRM_B,CRM,Prof. Ankur Jha,Sat,14:45,16:15,Room_2
W4_Sat_S5,4,CB_B,CB,Prof. M. Jyotsna Soni,Sat,16:30,18:00,Room_1
W4_Sat_S5,4,DTI_A,DTI,Prof. Rohit Kumar,Sat,16:30,18:00,Room_2
W4_Sat_S6,4,BV_A,BV,Prof. Anand,Sat,18:15,19:45,Room_1
W4_Sat_S6,4,IMC_B,IMC,Prof. T. Sai Vijay,Sat,18:15,19:45,Room_2
W4_Sun_S1,4,CS_B,CS,Prof. Swarup Kumar Dutta,Sun,09:00,10:30,Room_1
W4_Sun_S1,4,DSMM_A,DSMM,Prof. Subhro Sarkar,Sun,09:00,10:30,Room_2
W4_Sun_S2,4,DRV_A,DRV,Prof. Kamran Kuddus,Sun,10:45,12:15,Room_1
W4_Sun_S2,4,PRI_B,PRI,Prof. Shweta Jha,Sun,10:45,12:15,Room_2
W4_Sun_S3,4,CS_B,CS,Prof. Swarup Kumar Dutta,Sun,12:30,14:00,Room_1
W4_Sun_S3,4,FIS_A,FIS,Prof. Prasenjit Chakrabarti,Sun,12:30,14:00,Room_2
W4_Sun_S4,4,CCS_A,CCS,Prof. Rohit Kumar,Sun,15:30,17:00,Room_1
W4_Sun_S4,4,SDM_B,SDM,Prof. Shibashish Chakraborty,Sun,15:30,17:00,Room_2
W4_Thu_S1,4,BV_A,BV,Prof. Anand,Thu,09:00,10:30,Room_1
W4_Thu_S1,4,IMC_B,IMC,Prof. T. Sai Vijay,Thu,09:00,10:30,Room_2
W4_Thu_S2,4,PBM_B,PBM,Prof. Aditya Shankar Mishra,Thu,10:45,12:15,Room_1
