course_id,student_id
SDM,IPM107-21
SDM,IPM110-21
SDM,IPM122-21
SDM,IPM128-21
SDM,M003-24
SDM,M006-24
SDM,M010-23
SDM,M014-24
SDM,M015-24
SDM,M018-24
SDM,M033-24
SDM,M035-24
SDM,M038-24
SDM,M041-24
SDM,M049-24
SDM,M068-24
SDM,M089-24
SDM,M091-24
SDM,M093-24
SDM,M096-24
SDM,M098-24
SDM,M101-24
SDM,M111-24
SDM,M113-24
SDM,M115-24
SDM,M116-24
SDM,M118-24
SDM,M120-24
SDM,M123-24
SDM,M127-24
SDM,M132-24
SDM,M135-24
SDM,M141-24
SDM,M145-24
SDM,M150-24
SDM,M161-24
SDM,M165-24
SDM,M168-24
SDM,M173-24
SDM,M182-24
SDM,M185-24
SDM,M192-24
SDM,M199-24
SDM,M200-24
SDM,M205-24
SDM,M208-23
SDM,M208-24
SDM,M210-24
SDM,M215-24
SDM,M217-24
SDM,M225-24
SDM,M227-24
SDM,M229-24
SDM,M231-24
SDM,M235-24
SDM,M239-24
SDM,M244-23
SDM,M247-24
SDM,M249-23
SDM,M253-24
SDM,M265-24
SDM,BA003-24
SDM,BA037-24
SDM,BA039-24
SDM,BA046-24
SDM,BA047-24
SDM,BA048-24
SDM,IPM005-21
SDM,IPM006-21
SDM,IPM013-21
SDM,IPM016-21
SDM,IPM044-21
SDM,IPM058-21
SDM,IPM070-21
SDM,IPM078-21
SDM,IPM080-21
SDM,IPM081-21
SDM,IPM116-21
SDM,IPM117-21
SDM,IPM118-21
SDM,IPM123-21
SDM,M001-24
SDM,M002-24
SDM,M011-24
SDM,M020-24
SDM,M022-24
SDM,M029-24
SDM,M031-24
SDM,M034-23
SDM,M044-24
SDM,M045-24
SDM,M046-24
SDM,M048-24
SDM,M051-24
SDM,M066-24
SDM,M067-24
SDM,M107-24
SDM,M110-24
SDM,M125-24
SDM,M133-24
SDM,M138-24
SDM,M146-24
SDM,M147-24
SDM,M149-24
SDM,M155-24
SDM,M157-24
SDM,M164-24
SDM,M171-24
SDM,M175-24
SDM,M176-24
SDM,M178-24
SDM,M186-23
SDM,M186-24
SDM,M206-24
SDM,M220-24
SDM,M221-24
SDM,M228-24
SDM,M234-24
SDM,M241-24
SDM,M242-24
SDM,M243-24
SDM,M246-24
SDM,M251-24
SDM,M255-24
SDM,M256-24
SDM,M258-24
SDM,M262-24
SDM,M263-24
SDM,M264-24
SDM,M267-24
SDM,M270-24
CB,BA004-23
CB,BA041-24
CB,BA046-24
CB,IPM002-21
CB,IPM013-21
CB,IPM044-21
CB,IPM056-21
CB,IPM059-21
CB,IPM061-21
CB,IPM071-21
CB,IPM080-21
CB,IPM116-21
CB,IPM117-21
CB,IPM123-21
CB,M002-24
CB,M004-24
CB,M005-24
CB,M015-24
CB,M020-24
CB,M029-24
CB,M043-24
CB,M045-24
CB,M047-24
CB,M070-24
CB,M071-24
CB,M097-24
CB,M103-24
CB,M105-24
CB,M114-24
CB,M149-23
CB,M151-24
CB,M176-24
CB,M180-24
CB,M184-24
CB,M198-24
CB,M199-24
CB,M208-24
CB,M221-24
CB,M223-24
CB,M224-24
CB,M228-24
CB,M236-24
CB,M245-24
CB,M248-24
CB,M249-23
CB,M250-24
CB,M251-23
CB,M251-24
CB,M258-24
CB,M261-24
CB,M266-24
CB,BA047-24
CB,BA050-24
CB,IPM009-21
CB,IPM011-21
CB,IPM015-21
CB,IPM037-21
CB,IPM045-21
CB,IPM052-21
CB,IPM055-21
CB,IPM063-21
CB,IPM067-21
CB,IPM078-21
CB,IPM088-21
CB,IPM094-21
CB,IPM097-21
CB,IPM099-21
CB,IPM114-21
CB,M010-24
CB,M014-24
CB,M017-24
CB,M024-24
CB,M040-23
CB,M048-24
CB,M049-23
CB,M052-24
CB,M053-24
CB,M055-24
CB,M057-24
CB,M058-24
CB,M063-24
CB,M068-24
CB,M073-24
CB,M085-24
CB,M091-24
CB,M101-24
CB,M107-24
CB,M113-24
CB,M121-24
CB,M122-24
CB,M142-24
CB,M145-24
CB,M159-24
CB,M164-24
CB,M165-24
CB,M171-24
CB,M177-24
CB,M208-23
CB,M217-24
CB,M220-24
CB,M229-24
CB,M230-24
CB,M232-24
CB,M234-24
CB,M240-24
CB,M243-24
CB,M249-24
CB,M253-24
CB,M255-24
CB,M262-24
CB,M265-24
CRM,BA010-24
CRM,BA012-24
CRM,BA013-24
CRM,BA020-24
CRM,BA021-24
CRM,BA031-24
CRM,BA044-24
CRM,H072-23
CRM,IPM002-21
CRM,IPM003-21
CRM,IPM015-21
CRM,IPM020-21
CRM,IPM023-21
CRM,IPM034-21
CRM,IPM039-21
CRM,IPM040-21
CRM,IPM048-21
CRM,IPM053-21
CRM,IPM055-21
CRM,IPM057-21
CRM,IPM059-21
CRM,IPM088-21
CRM,IPM097-21
CRM,IPM099-21
CRM,IPM105-21
CRM,IPM112-21
CRM,M001-24
CRM,M006-24
CRM,M013-24
CRM,M014-24
CRM,M022-24
CRM,M023-24
CRM,M034-24
CRM,M038-24
CRM,M046-24
CRM,M051-24
CRM,M065-24
CRM,M068-24
CRM,M075-24
CRM,M079-24
CRM,M082-24
CRM,M099-23
CRM,M116-24
CRM,M126-24
CRM,M136-24
CRM,M138-24
CRM,M141-24
CRM,M146-24
CRM,M149-23
